,Animal,Order,Family,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain m per body m,Cerebellum m per body m,Whole brain m per body m,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m,Forebrain m/Rest m,Cerebellum m/Rest m,Forebrain m/Cerebellum m
49,Tasmanian devil*,Dasyuromorphia,Dasyuridae,5.228,1.434,9.802,122600000.0,601070000.0,744640000.0,8200.0,53.33605386655784,14.629667414813301,16.464331757627846,80.7195423291792,23450.650344299924,419156.20641562063,75968.16976127321,0.06375609756097561,0.01748780487804878,0.11953658536585365,14951.219512195123,73301.21951219512,90809.75609756098,1.6649681528662421,0.456687898089172,3.6457461645746165
50,Parma wallaby,Diprotodontia,Macropodidae,9.914,1.69,15.714,135620000.0,558080000.0,711130000.0,4268.0,63.09023800432735,10.754740995290824,19.07105592507699,78.47791543037138,13679.644946540246,330224.8520710059,45254.550082728776,0.23228678537956887,0.03959700093720712,0.36818181818181817,31776.00749765698,130759.13776944704,166619.0253045923,2.4121654501216536,0.411192214111922,5.866272189349113
51,Rock hyrax,Hyracoidea,Procaviidae,10.478,2.058,16.853,197930000.0,488370000.0,755650000.0,3600.0,62.1729069008485,12.21147570165549,26.193343479123932,64.62912724144776,18890.055354075204,237303.20699708455,44837.71435352756,0.29105555555555557,0.057166666666666664,0.46813888888888894,54980.555555555555,135658.33333333334,209902.77777777778,2.4271484827426444,0.47671994440583715,5.091350826044704
52,Swamp wallaby,Diprotodontia,Macropodidae,15.182,4.42,30.012,208110000.0,1200000000.0,1440000000.0,12066.0,50.58643209382914,14.727442356390776,14.452083333333333,83.33333333333334,13707.680147543144,271493.2126696833,47980.80767692923,0.12582463119509366,0.03663185811370794,0.2487319741422178,17247.63799104923,99453.00845350572,119343.61014420686,1.4584053794428435,0.42459173871277617,3.4348416289592762
53,Northern greater galago,Primates,Galagidae,6.29,1.196,10.15,226090000.0,743500000.0,936000000.0,1300.0,61.97044334975369,11.783251231527093,24.15491452991453,79.43376068376068,35944.356120826706,621655.5183946488,92216.74876847291,0.48384615384615387,0.092,0.7807692307692308,173915.38461538462,571923.0769230769,720000.0,2.3611111111111107,0.4489489489489488,5.259197324414716
54,Raccoon dog,Carnivora,Canidae,15.53,3.26,28.11,240180000.0,844740000.0,1160000000.0,8545.0,55.2472429740306,11.59729633582355,20.705172413793104,72.82241379310345,15465.550547327754,259122.69938650308,41266.45321949484,0.18174370977179635,0.038150965476887067,0.32896430661205384,28107.665301345816,98857.81158572265,135751.90169689877,1.6663090128755365,0.34978540772532185,4.763803680981595
55,Common marmoset,Primates,Callitrichidae,5.561,0.73,7.78,244720000.0,361370000.0,635800000.0,255.2,71.47814910025707,9.383033419023135,38.490091223655234,56.83705567788613,44006.4736558173,495027.397260274,81722.36503856041,2.179075235109718,0.2860501567398119,3.0485893416927903,958934.1692789969,1416026.6457680252,2491379.310344828,3.73472128945601,0.49026192075218256,7.617808219178082
56,House cat,Carnivora,Felidae,24.176,5.11,34.858,249830000.0,942900000.0,1215000000.0,3900.0,69.35567158184635,14.659475586665904,20.562139917695475,77.60493827160494,10333.80211780278,184520.54794520547,34855.7002696655,0.6198974358974358,0.13102564102564104,0.8937948717948717,64058.97435897436,241769.23076923078,311538.46153846156,4.338837042354632,0.9170854271356788,4.731115459882583
57,Brown bear,Carnivora,Ursidae,222.0,45.106,315.004,250970000.0,9253000000.0,9585000000.0,277500.0,70.4752955518025,14.319183248466686,2.618362023995827,96.53625456442357,1130.4954954954956,205139.00589721987,30428.18503892014,0.08,0.016254414414414414,0.11351495495495495,904.3963963963964,33344.14414414414,34540.54054054054,4.6348490542402585,0.9417094659484735,4.921739901565202
58,Bennett's wallaby,Diprotodontia,Macropodidae,16.102,3.572,26.994,256780000.0,1020000000.0,1320000000.0,11110.0,59.650292657627624,13.232570200785359,19.453030303030303,77.27272727272727,15947.087318345548,285554.31131019036,48899.75550122249,0.14493249324932495,0.03215121512151215,0.24297029702970296,23112.511251125114,91809.1809180918,118811.88118811882,2.199726775956284,0.4879781420765028,4.507838745800672
59,Goodfellow's tree-kangaroo,Diprotodontia,Macropodidae,19.57,4.236,31.548,273430000.0,1240000000.0,1550000000.0,13608.0,62.03245847597313,13.427158615443135,17.640645161290323,80.0,13971.895758814511,292728.9896128423,49131.482185875495,0.1438124632569077,0.031128747795414462,0.23183421516754849,20093.327454438564,91122.86890064667,113903.58612580835,2.5277706019116515,0.547145440454663,4.619924457034939
60,Capybara,Rodentia,Caviidae,48.175,6.632,74.734,306500000.0,1157000000.0,1572000000.0,55000.0,64.46195841250301,8.874140284207991,19.49745547073791,73.60050890585241,6362.2210690192005,174457.1773220748,21034.602724328954,0.08759090909090908,0.012058181818181817,0.13587999999999997,5572.727272727273,21036.363636363636,28581.81818181818,2.417574145631555,0.3328147739248256,7.264022919179735
