,Animal,Order,Family,Forebrain m,Cerebellum m,Whole brain m,Forebrain n,Cerebellum n,Whole brain n,Body m,Forebrain m r %,Cerebellum m r %,Forebrain n r %,Cerebellum n r %,Forebrain n d,Cerebellum n d,Whole brain n d,Forebrain m per body m,Cerebellum m per body m,Whole brain m per body m,Forebrain n per body m,Cerebellum n per body m,Whole brain n per body m
43,Mallard,Anseriformes,Anatidae,3.6,0.6496,5.541,112255000.0,220314000.0,367466000.0,1361.67,64.97022198159176,11.723515610900558,30.54840447823744,59.954934606194854,31181.944444444445,339153.32512315275,66317.63219635445,0.264381237744828,0.047706125566400075,0.4069267884289145,82439.21067512686,161796.91114587235,269864.21085872495
44,Australian wood duck,Anseriformes,Anatidae,2.282,0.597,4.007,112604000.0,245364000.0,390858000.0,613.8,56.9503369104068,14.898926877963564,28.809439745380676,62.775739526886994,49344.43470639789,410994.97487437184,97543.79835288247,0.37178233952427503,0.09726295210166178,0.6528185076572174,183453.89377647443,399745.8455522972,636783.9687194526
45,Eurasian wigeon,Anseriformes,Anatidae,2.462,0.45,3.973,113159000.0,151783000.0,285523000.0,636.8,61.96828593002769,11.326453561540397,39.63218374701863,53.1596403792339,45962.225832656375,337295.55555555556,71865.84445003775,0.38662060301507545,0.07066582914572865,0.6239007537688442,177699.43467336684,238352.70100502516,448371.5452261307
46,Victoria crowned pigeon,Columbiformes,Columbidae,2.94,0.8918,5.899,118445000.0,405518000.0,578697000.0,1375.4,49.83895575521275,15.1178165790812,20.467533095903384,70.07432214094767,40287.4149659864,454718.54675936303,98100.86455331412,0.21375599825505306,0.06483931947069943,0.4288934128253599,86116.76603169987,294836.4112258252,420748.1459938927
47,Ruddy shelduck,Anseriformes,Anatidae,2.805,0.829,5.273,119202000.0,264298000.0,421445000.0,1257.967,53.19552436942917,15.721600606865163,28.284117737783106,62.7123349428751,42496.25668449198,318815.4402895054,79925.0900815475,0.22297882217896017,0.06589997988818466,0.41916838835994896,94757.65262522784,210099.31103121146,335020.7119900601
48,Yellow-Knobbed Curassow,Galliformes,Cracidae,4.92,1.184,9.02,124624000.0,472677000.0,652989000.0,2448.6,54.545454545454554,13.126385809312637,19.085160699491112,72.38667113841122,25330.08130081301,399220.4391891892,72393.45898004435,0.20093114432737075,0.04835416156170873,0.36837376460017973,50896.02221677694,193039.69615290372,266678.5101690762
49,Baikal teal,Anseriformes,Anatidae,1.891,0.413,3.244,129036000.0,151217000.0,300240000.0,449.05,58.292231812577064,12.731196054254006,42.97761790567546,50.36537436717293,68236.91168693813,366142.85714285716,92552.40443896424,0.4211112348290836,0.09197194076383476,0.7224139850796125,287353.30141409644,336748.6916824407,668611.5131945218
50,Indian peafowl,Galliformes,Phasianidae,3.15,0.8543,6.194,129621000.0,374518000.0,570934000.0,3599.2,50.8556667742977,13.792379722311916,22.703324727551696,65.59742457096617,41149.52380952381,438391.6656912092,92175.33096545044,0.08751944876639253,0.02373583018448544,0.17209379862191598,36013.83640809069,104055.90131140254,158628.02845076684
51,Lake duck,Anseriformes,Anatidae,2.304,0.445,3.872,129874000.0,112566000.0,300059000.0,551.15,59.50413223140496,11.492768595041323,43.282821045194446,37.51462212431555,56368.92361111111,252957.3033707865,77494.57644628099,0.4180350176902839,0.08074027034382654,0.7025310713961717,235641.839789531,204238.4105960265,544423.4781819831
52,Marbled duck,Anseriformes,Anatidae,2.04,0.433,3.503,130142000.0,213841000.0,386920000.0,452.2,58.235797887524974,12.360833571224664,33.63537682208209,55.26749715703505,63795.098039215685,493859.12240184756,110453.8966600057,0.4511278195488722,0.09575409111012827,0.7746572313135781,287797.43476337905,472890.314020345,855639.0977443609
53,Pygmy falcon,Falconiformes,Falconidae,0.86,0.2106,1.628,131898000.0,155402000.0,350367000.0,63.91,52.825552825552826,12.936117936117938,37.64566868455077,44.354063025342,153369.76744186046,737901.2345679011,215213.14496314497,1.3456423094977312,0.3295258957909561,2.547332185886403,2063808.4806759506,2431575.6532624005,5482193.709904553
54,Helmeted guineafowl,Galliformes,Numididae,1.852,0.494,3.747,132459000.0,253934000.0,447116000.0,1703.9,49.426207632772886,13.18388043768348,29.625197935211446,56.79376269245565,71522.13822894168,514036.43724696356,119326.39444889245,0.1086918246375961,0.028992311755384706,0.21990727155349493,77738.71706086038,149031.04642291213,262407.4182757204
